UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2016,11,1,"The Return of the King: Lord of the Rings Series, Book 3",,J. R. R. Tolkien,"Fantasy, Fiction",HarperCollins Publishers Inc.,2009
Digital,Hoopla,MUSIC,2016,11,1,The Lord Of The Rings: The Fellowship Of The Ring (Original Motion Picture Soundtrack),,,Soundtrack,Reprise,
Digital,OverDrive,EBOOK,2016,11,2,"The Two Towers: Lord of the Rings Series, Book 2",,J. R. R. Tolkien,"Fantasy, Fiction",HarperCollins Publishers Inc.,2009
Physical,Horizon,VIDEODISC,2016,11,3,"The lord of the rings [videorecording] : The return of the king / National Geographic Television ; producer, Helen Fitzwilliam ; written by Helen Fitzwilliam, John Bredar, Rachel Allen.",,,"Tolkien J R R John Ronald Reuel 1892 1973 Return of the king, Lord of the rings the return of the king Motion picture, Middle Earth Imaginary place, Documentary television programs, Video recordings for the hearing impaired","Warner Brothers Home Video,",c2003.
Physical,Horizon,VIDEODISC,2016,11,2,The lord of the rings [videorecording] / United Artists ; Fantasy Films ; screenplay by Chris Conkling and Peter S. Beagle ; produced by Saul Zaentz ; directed by Ralph Bakshi.,,,"Baggins Frodo Fictitious character Juvenile fiction, Middle Earth Imaginary place Juvenile fiction, Animated films, Feature films, Video recordings for the hearing impaired","Warner Home Video,",2010.
Digital,Freegal,SONG,2016,11,1,"The Lord of the Rings (From ""Lord of the Rings"")",,"Royal Philharmonic Orchestra,Nick Ingman,Howard Shore",,,
Digital,Hoopla,MUSIC,2016,11,1,The Lord Of The Rings - The Return Of The King - The Complete Recordings (Limited Edition),,,Soundtrack,Reprise,
Physical,Horizon,SOUNDDISC,2016,11,2,"The lord of the rings, the fellowship of the ring [sound recording] : original motion picture soundtrack / music composed, orchestrated and conducted by Howard Shore.",,"Shore, Howard","Motion picture music, Orchestral music","Reprise,",p2001.
Physical,Horizon,BOOK,2016,11,2,The art of The Lord of the Rings by J.R.R. Tolkien / Wayne G. Hammond & Christina Scull.,,"Hammond, Wayne G.","Tolkien J R R John Ronald Reuel 1892 1973 Lord of the rings Illustrations, Middle Earth Imaginary place in art, Fantasy fiction English Illustrations","Houghton Mifflin Harcourt,",2015.
Digital,OverDrive,AUDIOBOOK,2016,11,6,"The Fellowship of the Ring: The Lord of the Rings Series, Book 1 (unabridged selections) (Unabridged Selections)",,J. R. R. Tolkien,"Fantasy, Fiction",HighBridge Company,2007
Physical,Horizon,VIDEODISC,2016,11,9,"The lord of the rings [videorecording] : the two towers / New Line Cinema presents a Wingnut Films production ; producers, Barrie M. Osborne, Fran Walsh, Peter Jackson ; screenplay writers, Fran Walsh ... [and others] ; director, Peter Jackson.",,,"Baggins Frodo Fictitious character Drama, Middle Earth Imaginary place Drama, Feature films, Video recordings for the hearing impaired","New Line Home Entertainment,",[2003]
Digital,OverDrive,AUDIOBOOK,2016,11,7,"The Two Towers: The Lord of the Rings Series, Book 2 (unabridged selections) (Unabridged Selections)",,J. R. R. Tolkien,"Fantasy, Fiction",HighBridge Company,2007
Physical,Horizon,BOOK,2016,11,1,The Lord of the Rings : the art of The two towers / Gary Russell.,,"Russell, Gary","Tolkien J R R John Ronald Reuel 1892 1973 Two towers, Lord of the rings the two towers Motion picture, Motion pictures Setting and scenery Pictorial works, Characters and characteristics in motion pictures Pictorial works, Middle Earth Imaginary place Pictorial works","Houghton Mifflin,",c2003.
Physical,Horizon,BOOK,2016,11,1,"Mythmaker : the life of J.R.R. Tolkien, creator of The hobbit and The lord of the rings / Anne E. Neimark.",,"Neimark, Anne E.","Tolkien J R R John Ronald Reuel 1892 1973 Juvenile literature, Authors English 20th century Biography Juvenile literature, Fantasy literature Authorship Juvenile literature, Middle Earth Imaginary place Juvenile literature, Authors English Juvenile literature","Harcourt Children's Books : Houghton Mifflin Harcourt,",c2012.
Physical,Horizon,SOUNDDISC,2016,11,2,"The lord of the rings, the two towers [sound recording] : original motion picture soundtrack / music composed, orchestrated, and conducted by Howard Shore.",,"Shore, Howard",Motion picture music,"Reprise/WMG Soundtracks,",p2002.
Physical,Horizon,BOOK,2016,11,1,Tolkien's ordinary virtues : exploring the spiritual themes of The lord of the rings / Mark Eddy Smith.,,"Smith, Mark Eddy, 1967-","Tolkien J R R John Ronald Reuel 1892 1973 Lord of the rings, Tolkien J R R John Ronald Reuel 1892 1973 Religion, Christianity and literature England History 20th century, Christian fiction English History and criticism, Fantasy fiction English History and criticism, Middle Earth Imaginary place, Spiritual life in literature, Virtue in literature","InterVarsity Press,",c2002.
Physical,Horizon,BOOK,2016,11,1,Following Gandalf : epic battles and moral victory in the Lord of the rings / Matthew T. Dickerson.,,"Dickerson, Matthew T., 1963-","Tolkien J R R John Ronald Reuel 1892 1973 Lord of the rings, Epic literature English History and criticism, Fantasy fiction English History and criticism, Free will and determinism in literature, Middle Earth Imaginary place, Battles in literature, Courage in literature, Ethics in literature","Brazos Press,",c2003.
Physical,Horizon,BOOK,2016,11,5,The lord of the rings / J.R.R. Tolkien.,,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973","Baggins Frodo Fictitious character Fiction, Middle Earth Imaginary place Fiction, Fantasy fiction","Houghton Mifflin,",[2004]
